STATE/UT,Year,CAUSE,Total Male,Total Female,Total
ANDHRA PRADESH,2004,Service (Private),619,80,699
ANDHRA PRADESH,2004,Public Sector Undertaking,63,23,86
ANDHRA PRADESH,2004,Student,315,177,492
ANDHRA PRADESH,2004,Unemployed,562,80,642
ANDHRA PRADESH,2004,Self-employed (Business activity),913,67,980
ANDHRA PRADESH,2004,Professional Activity,329,81,410
ANDHRA PRADESH,2004,Farming/Agriculture Activity,2218,448,2666
ANDHRA PRADESH,2004,Others (Please Specify),1466,367,1833
ANDHRA PRADESH,2004,Retired Person,62,23,85
ANDHRA PRADESH,2004,Others (Please Specify),2235,769,3004
ANDHRA PRADESH,2004,Total,9082,4444,13526
ANDHRA PRADESH,2004,Total Salaried,982,117,1099
ANDHRA PRADESH,2004,Total Self-employed,4926,963,5889
ANDHRA PRADESH,2005,House Wife,0,2179,2179
ANDHRA PRADESH,2005,Service (Government),110,30,140
ANDHRA PRADESH,2005,Service (Private),699,131,830
ANDHRA PRADESH,2005,Public Sector Undertaking,233,44,277
ANDHRA PRADESH,2005,Student,274,226,500
ANDHRA PRADESH,2005,Unemployed,430,80,510
ANDHRA PRADESH,2005,Self-employed (Business activity),882,115,997
ANDHRA PRADESH,2005,Professional Activity,182,38,220
ANDHRA PRADESH,2005,Farming/Agriculture Activity,2017,473,2490
ANDHRA PRADESH,2005,Others (Please Specify),1249,468,1717
ANDHRA PRADESH,2005,Retired Person,57,3,60
ANDHRA PRADESH,2005,Others (Please Specify),2732,790,3522
ANDHRA PRADESH,2005,Total,8865,4577,13442
ANDHRA PRADESH,2005,Total Salaried,1042,205,1247
ANDHRA PRADESH,2005,Total Self-employed,4330,1094,5424
ANDHRA PRADESH,2006,House Wife,0,2156,2156
ANDHRA PRADESH,2006,Service (Government),183,48,231
ANDHRA PRADESH,2006,Service (Private),576,71,647
ANDHRA PRADESH,2006,Public Sector Undertaking,190,14,204
ANDHRA PRADESH,2006,Student,287,225,512
ANDHRA PRADESH,2006,Unemployed,371,58,429
ANDHRA PRADESH,2006,Self-employed (Business activity),842,52,894
ANDHRA PRADESH,2006,Professional Activity,552,22,574
ANDHRA PRADESH,2006,Farming/Agriculture Activity,2000,607,2607
ANDHRA PRADESH,2006,Others (Please Specify),1823,678,2501
ANDHRA PRADESH,2006,Retired Person,51,6,57
ANDHRA PRADESH,2006,Others (Please Specify),1988,476,2464
ANDHRA PRADESH,2006,Total,8863,4413,13276
ANDHRA PRADESH,2006,Total Salaried,949,133,1082
ANDHRA PRADESH,2006,Total Self-employed,5217,1359,6576
ANDHRA PRADESH,2007,House Wife,0,2480,2480
ANDHRA PRADESH,2007,Service (Government),220,55,275
ANDHRA PRADESH,2007,Service (Private),1103,270,1373
ANDHRA PRADESH,2007,Public Sector Undertaking,210,29,239
ANDHRA PRADESH,2007,Student,420,279,699
ANDHRA PRADESH,2007,Unemployed,340,63,403
ANDHRA PRADESH,2007,Self-employed (Business activity),925,55,980
ANDHRA PRADESH,2007,Professional Activity,421,58,479
ANDHRA PRADESH,2007,Farming/Agriculture Activity,1508,289,1797
ANDHRA PRADESH,2007,Others (Please Specify),2462,668,3130
ANDHRA PRADESH,2007,Retired Person,67,11,78
ANDHRA PRADESH,2007,Others (Please Specify),2273,676,2949
ANDHRA PRADESH,2007,Total,9949,4933,14882
ANDHRA PRADESH,2007,Total Salaried,1533,354,1887
ANDHRA PRADESH,2007,Total Self-employed,5316,1070,6386
ANDHRA PRADESH,2008,House Wife,0,2516,2516
ANDHRA PRADESH,2008,Service (Government),246,59,305
ANDHRA PRADESH,2008,Service (Private),968,189,1157
ANDHRA PRADESH,2008,Public Sector Undertaking,531,110,641
ANDHRA PRADESH,2008,Student,294,187,481
ANDHRA PRADESH,2008,Unemployed,519,52,571
ANDHRA PRADESH,2008,Self-employed (Business activity),935,30,965
ANDHRA PRADESH,2008,Professional Activity,459,33,492
ANDHRA PRADESH,2008,Farming/Agriculture Activity,1747,358,2105
ANDHRA PRADESH,2008,Others (Please Specify),1956,580,2536
ANDHRA PRADESH,2008,Retired Person,52,15,67
ANDHRA PRADESH,2008,Others (Please Specify),2014,504,2518
ANDHRA PRADESH,2008,Total,9721,4633,14354
ANDHRA PRADESH,2008,Total Salaried,1745,358,2103
ANDHRA PRADESH,2008,Total Self-employed,5097,1001,6098
ANDHRA PRADESH,2009,House Wife,0,2391,2391
ANDHRA PRADESH,2009,Service (Government),213,21,234
ANDHRA PRADESH,2009,Service (Private),1046,161,1207
ANDHRA PRADESH,2009,Public Sector Undertaking,587,78,665
ANDHRA PRADESH,2009,Student,364,233,597
ANDHRA PRADESH,2009,Unemployed,644,70,714
ANDHRA PRADESH,2009,Self-employed (Business activity),1326,25,1351
ANDHRA PRADESH,2009,Professional Activity,466,23,489
ANDHRA PRADESH,2009,Farming/Agriculture Activity,2016,398,2414
ANDHRA PRADESH,2009,Others (Please Specify),1946,670,2616
ANDHRA PRADESH,2009,Retired Person,69,29,98
ANDHRA PRADESH,2009,Others (Please Specify),1210,514,1724
ANDHRA PRADESH,2009,Total,9887,4613,14500
ANDHRA PRADESH,2009,Total Salaried,1846,260,2106
ANDHRA PRADESH,2009,Total Self-employed,5754,1116,6870
ANDHRA PRADESH,2010,House Wife,0,2601,2601
ANDHRA PRADESH,2010,Service (Government),187,72,259
ANDHRA PRADESH,2010,Service (Private),929,114,1043
ANDHRA PRADESH,2010,Public Sector Undertaking,485,47,532
ANDHRA PRADESH,2010,Student,374,282,656
ANDHRA PRADESH,2010,Unemployed,561,75,636
ANDHRA PRADESH,2010,Self-employed (Business activity),937,58,995
ANDHRA PRADESH,2010,Professional Activity,218,10,228
ANDHRA PRADESH,2010,Farming/Agriculture Activity,2130,395,2525
ANDHRA PRADESH,2010,Others (Please Specify),3473,747,4220
ANDHRA PRADESH,2010,Retired Person,66,18,84
ANDHRA PRADESH,2010,Others (Please Specify),1587,535,2122
ANDHRA PRADESH,2010,Total,10947,4954,15901
ANDHRA PRADESH,2010,Total Salaried,1601,233,1834
ANDHRA PRADESH,2010,Total Self-employed,6758,1210,7968
ANDHRA PRADESH,2011,House Wife,0,2288,2288
ANDHRA PRADESH,2011,Service (Government),89,20,109
ANDHRA PRADESH,2011,Service (Private),1387,243,1630
ANDHRA PRADESH,2011,Public Sector Undertaking,288,79,367
ANDHRA PRADESH,2011,Student,287,276,563
ANDHRA PRADESH,2011,Unemployed,535,107,642
ANDHRA PRADESH,2011,Self-employed (Business activity),961,133,1094
ANDHRA PRADESH,2011,Professional Activity,340,52,392
ANDHRA PRADESH,2011,Farming/Agriculture Activity,1822,384,2206
ANDHRA PRADESH,2011,Others (Please Specify),2483,813,3296
ANDHRA PRADESH,2011,Retired Person,35,6,41
ANDHRA PRADESH,2011,Others (Please Specify),1893,556,2449
ANDHRA PRADESH,2011,Total,10120,4957,15077
ANDHRA PRADESH,2011,Total Salaried,1764,342,2106
ANDHRA PRADESH,2011,Total Self-employed,5606,1382,6988
ANDHRA PRADESH,2012,House Wife,0,2143,2143
ANDHRA PRADESH,2012,Service (Government),108,29,137
ANDHRA PRADESH,2012,Service (Private),1268,185,1453
ANDHRA PRADESH,2012,Public Sector Undertaking,280,51,331
ANDHRA PRADESH,2012,Student,276,283,559
ANDHRA PRADESH,2012,Unemployed,640,127,767
ANDHRA PRADESH,2012,Self-employed (Business activity),721,30,751
ANDHRA PRADESH,2012,Professional Activity,334,31,365
ANDHRA PRADESH,2012,Farming/Agriculture Activity,2100,472,2572
ANDHRA PRADESH,2012,Others (Please Specify),2521,813,3334
ANDHRA PRADESH,2012,Retired Person,84,0,84
ANDHRA PRADESH,2012,Others (Please Specify),1195,547,1742
ANDHRA PRADESH,2012,Total,9527,4711,14238
ANDHRA PRADESH,2012,Total Salaried,1656,265,1921
ANDHRA PRADESH,2012,Total Self-employed,5676,1346,7022
ARUNACHAL PRADESH,2001,House Wife,0,15,15
ARUNACHAL PRADESH,2001,Service (Government),14,0,14
ARUNACHAL PRADESH,2001,Service (Private),32,9,41
ARUNACHAL PRADESH,2001,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2001,Student,2,6,8
ARUNACHAL PRADESH,2001,Unemployed,3,0,3
ARUNACHAL PRADESH,2001,Self-employed (Business activity),12,0,12
ARUNACHAL PRADESH,2001,Professional Activity,0,0,0
ARUNACHAL PRADESH,2001,Farming/Agriculture Activity,12,5,17
ARUNACHAL PRADESH,2001,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2001,Retired Person,1,0,1
ARUNACHAL PRADESH,2001,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2001,Total,76,35,111
ARUNACHAL PRADESH,2001,Total Salaried,46,9,55
ARUNACHAL PRADESH,2001,Total Self-employed,24,5,29
ARUNACHAL PRADESH,2002,House Wife,0,27,27
ARUNACHAL PRADESH,2002,Service (Government),15,0,15
ARUNACHAL PRADESH,2002,Service (Private),13,0,13
ARUNACHAL PRADESH,2002,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2002,Student,4,5,9
ARUNACHAL PRADESH,2002,Unemployed,2,4,6
ARUNACHAL PRADESH,2002,Self-employed (Business activity),14,1,15
ARUNACHAL PRADESH,2002,Professional Activity,1,0,1
ARUNACHAL PRADESH,2002,Farming/Agriculture Activity,21,6,27
ARUNACHAL PRADESH,2002,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2002,Retired Person,1,0,1
ARUNACHAL PRADESH,2002,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2002,Total,71,43,114
ARUNACHAL PRADESH,2002,Total Salaried,28,0,28
ARUNACHAL PRADESH,2002,Total Self-employed,36,7,43
ARUNACHAL PRADESH,2003,House Wife,0,18,18
ARUNACHAL PRADESH,2003,Service (Government),12,2,14
ARUNACHAL PRADESH,2003,Service (Private),3,0,3
ARUNACHAL PRADESH,2003,Public Sector Undertaking,1,0,1
ARUNACHAL PRADESH,2003,Student,1,4,5
ARUNACHAL PRADESH,2003,Unemployed,3,0,3
ARUNACHAL PRADESH,2003,Self-employed (Business activity),24,2,26
ARUNACHAL PRADESH,2003,Professional Activity,0,0,0
ARUNACHAL PRADESH,2003,Farming/Agriculture Activity,10,1,11
ARUNACHAL PRADESH,2003,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2003,Retired Person,0,0,0
ARUNACHAL PRADESH,2003,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2003,Total,54,27,81
ARUNACHAL PRADESH,2003,Total Salaried,16,2,18
ARUNACHAL PRADESH,2003,Total Self-employed,34,3,37
ARUNACHAL PRADESH,2004,House Wife,0,17,17
ARUNACHAL PRADESH,2004,Service (Government),10,1,11
ARUNACHAL PRADESH,2004,Service (Private),2,0,2
ARUNACHAL PRADESH,2004,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2004,Student,5,5,10
ARUNACHAL PRADESH,2004,Unemployed,2,3,5
ARUNACHAL PRADESH,2004,Self-employed (Business activity),14,0,14
ARUNACHAL PRADESH,2004,Professional Activity,0,0,0
ARUNACHAL PRADESH,2004,Farming/Agriculture Activity,16,4,20
ARUNACHAL PRADESH,2004,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2004,Retired Person,0,0,0
ARUNACHAL PRADESH,2004,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2004,Total,49,30,79
ARUNACHAL PRADESH,2004,Total Salaried,12,1,13
ARUNACHAL PRADESH,2004,Total Self-employed,30,4,34
ARUNACHAL PRADESH,2005,House Wife,0,9,9
ARUNACHAL PRADESH,2005,Service (Government),3,1,4
ARUNACHAL PRADESH,2005,Service (Private),4,1,5
ARUNACHAL PRADESH,2005,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2005,Student,1,1,2
ARUNACHAL PRADESH,2005,Unemployed,4,1,5
ARUNACHAL PRADESH,2005,Self-employed (Business activity),18,1,19
ARUNACHAL PRADESH,2005,Professional Activity,1,0,1
ARUNACHAL PRADESH,2005,Farming/Agriculture Activity,18,7,25
ARUNACHAL PRADESH,2005,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2005,Retired Person,0,0,0
ARUNACHAL PRADESH,2005,Others (Please Specify),0,0,0
ARUNACHAL PRADESH,2005,Total,49,21,70
ARUNACHAL PRADESH,2005,Total Salaried,7,2,9
ARUNACHAL PRADESH,2005,Total Self-employed,37,8,45
ARUNACHAL PRADESH,2006,House Wife,0,21,21
ARUNACHAL PRADESH,2006,Service (Government),18,1,19
ARUNACHAL PRADESH,2006,Service (Private),28,0,28
ARUNACHAL PRADESH,2006,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2006,Student,2,8,10
ARUNACHAL PRADESH,2006,Unemployed,9,0,9
ARUNACHAL PRADESH,2006,Self-employed (Business activity),5,0,5
ARUNACHAL PRADESH,2006,Professional Activity,0,0,0
ARUNACHAL PRADESH,2006,Farming/Agriculture Activity,4,0,4
ARUNACHAL PRADESH,2006,Others (Please Specify),23,3,26
ARUNACHAL PRADESH,2006,Retired Person,0,0,0
ARUNACHAL PRADESH,2006,Others (Please Specify),7,0,7
ARUNACHAL PRADESH,2006,Total,96,33,129
ARUNACHAL PRADESH,2006,Total Salaried,46,1,47
ARUNACHAL PRADESH,2006,Total Self-employed,32,3,35
ARUNACHAL PRADESH,2007,House Wife,0,10,10
ARUNACHAL PRADESH,2007,Service (Government),9,0,9
ARUNACHAL PRADESH,2007,Service (Private),18,1,19
ARUNACHAL PRADESH,2007,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2007,Student,3,8,11
ARUNACHAL PRADESH,2007,Unemployed,25,2,27
ARUNACHAL PRADESH,2007,Self-employed (Business activity),4,0,4
ARUNACHAL PRADESH,2007,Professional Activity,1,0,1
ARUNACHAL PRADESH,2007,Farming/Agriculture Activity,14,1,15
ARUNACHAL PRADESH,2007,Others (Please Specify),16,5,21
ARUNACHAL PRADESH,2007,Retired Person,2,0,2
ARUNACHAL PRADESH,2007,Others (Please Specify),6,4,10
ARUNACHAL PRADESH,2007,Total,98,31,129
ARUNACHAL PRADESH,2007,Total Salaried,27,1,28
ARUNACHAL PRADESH,2007,Total Self-employed,35,6,41
ARUNACHAL PRADESH,2008,House Wife,0,14,14
ARUNACHAL PRADESH,2008,Service (Government),25,1,26
ARUNACHAL PRADESH,2008,Service (Private),5,3,8
ARUNACHAL PRADESH,2008,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2008,Student,2,3,5
ARUNACHAL PRADESH,2008,Unemployed,11,1,12
ARUNACHAL PRADESH,2008,Self-employed (Business activity),0,0,0
ARUNACHAL PRADESH,2008,Professional Activity,0,0,0
ARUNACHAL PRADESH,2008,Farming/Agriculture Activity,12,0,12
ARUNACHAL PRADESH,2008,Others (Please Specify),20,11,31
ARUNACHAL PRADESH,2008,Retired Person,0,0,0
ARUNACHAL PRADESH,2008,Others (Please Specify),2,0,2
ARUNACHAL PRADESH,2008,Total,77,33,110
ARUNACHAL PRADESH,2008,Total Salaried,30,4,34
ARUNACHAL PRADESH,2008,Total Self-employed,32,11,43
ARUNACHAL PRADESH,2009,House Wife,0,14,14
ARUNACHAL PRADESH,2009,Service (Government),25,1,26
ARUNACHAL PRADESH,2009,Service (Private),5,3,8
ARUNACHAL PRADESH,2009,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2009,Student,2,3,5
ARUNACHAL PRADESH,2009,Unemployed,11,1,12
ARUNACHAL PRADESH,2009,Self-employed (Business activity),0,0,0
ARUNACHAL PRADESH,2009,Professional Activity,0,0,0
ARUNACHAL PRADESH,2009,Farming/Agriculture Activity,12,0,12
ARUNACHAL PRADESH,2009,Others (Please Specify),20,11,31
ARUNACHAL PRADESH,2009,Retired Person,0,0,0
ARUNACHAL PRADESH,2009,Others (Please Specify),2,0,2
ARUNACHAL PRADESH,2009,Total,77,33,110
ARUNACHAL PRADESH,2009,Total Salaried,30,4,34
ARUNACHAL PRADESH,2009,Total Self-employed,32,11,43
ARUNACHAL PRADESH,2010,House Wife,0,17,17
ARUNACHAL PRADESH,2010,Service (Government),11,0,11
ARUNACHAL PRADESH,2010,Service (Private),9,1,10
ARUNACHAL PRADESH,2010,Public Sector Undertaking,0,0,0
ARUNACHAL PRADESH,2010,Student,8,8,16
ARUNACHAL PRADESH,2010,Unemployed,6,1,7
ARUNACHAL PRADESH,2010,Self-employed (Business activity),4,0,4
ARUNACHAL PRADESH,2010,Professional Activity,0,0,0
ARUNACHAL PRADESH,2010,Farming/Agriculture Activity,18,0,18
ARUNACHAL PRADESH,2010,Others (Please Specify),12,0,12
ARUNACHAL PRADESH,2010,Retired Person,0,0,0
ARUNACHAL PRADESH,2010,Others (Please Specify),23,13,36
ARUNACHAL PRADESH,2010,Total,91,40,131
ARUNACHAL PRADESH,2010,Total Salaried,20,1,21
ARUNACHAL PRADESH,2010,Total Self-employed,34,0,34
ARUNACHAL PRADESH,2011,House Wife,0,21,21
ARUNACHAL PRADESH,2011,Service (Government),16,0,16
ARUNACHAL PRADESH,2011,Service (Private),15,0,15
ARUNACHAL PRADESH,2011,Public Sector Undertaking,9,0,9
ARUNACHAL PRADESH,2011,Student,10,5,15
ARUNACHAL PRADESH,2011,Unemployed,7,3,10
ARUNACHAL PRADESH,2011,Self-employed (Business activity),9,0,9
ARUNACHAL PRADESH,2011,Professional Activity,0,0,0
ARUNACHAL PRADESH,2011,Farming/Agriculture Activity,12,1,13
ARUNACHAL PRADESH,2011,Others (Please Specify),13,5,18
ARUNACHAL PRADESH,2011,Retired Person,1,0,1
ARUNACHAL PRADESH,2011,Others (Please Specify),7,0,7
ARUNACHAL PRADESH,2011,Total,99,35,134
ARUNACHAL PRADESH,2011,Total Salaried,40,0,40
ARUNACHAL PRADESH,2011,Total Self-employed,34,6,40
ARUNACHAL PRADESH,2012,House Wife,0,19,19
ARUNACHAL PRADESH,2012,Service (Government),4,5,9
ARUNACHAL PRADESH,2012,Service (Private),29,1,30
ARUNACHAL PRADESH,2012,Public Sector Undertaking,2,0,2
ARUNACHAL PRADESH,2012,Student,10,3,13
ARUNACHAL PRADESH,2012,Unemployed,16,0,16
ARUNACHAL PRADESH,2012,Self-employed (Business activity),0,0,0
ARUNACHAL PRADESH,2012,Professional Activity,0,0,0
ARUNACHAL PRADESH,2012,Farming/Agriculture Activity,11,0,11
ARUNACHAL PRADESH,2012,Others (Please Specify),19,2,21
ARUNACHAL PRADESH,2012,Retired Person,0,0,0
ARUNACHAL PRADESH,2012,Others (Please Specify),9,0,9
ARUNACHAL PRADESH,2012,Total,100,30,130
ARUNACHAL PRADESH,2012,Total Salaried,35,6,41
ARUNACHAL PRADESH,2012,Total Self-employed,30,2,32
ASSAM,2001,House Wife,0,394,394
ASSAM,2001,Service (Government),45,2,47
ASSAM,2001,Service (Private),131,28,159
ASSAM,2001,Public Sector Undertaking,84,2,86
ASSAM,2001,Student,121,70,191
ASSAM,2001,Unemployed,296,38,334
ASSAM,2001,Self-employed (Business activity),199,24,223
ASSAM,2001,Professional Activity,67,1,68
ASSAM,2001,Farming/Agriculture Activity,144,23,167
ASSAM,2001,Others (Please Specify),437,130,567
ASSAM,2001,Retired Person,6,0,6
ASSAM,2001,Others (Please Specify),306,99,405
ASSAM,2001,Total,1836,811,2647
ASSAM,2001,Total Salaried,260,32,292
ASSAM,2001,Total Self-employed,847,178,1025
ASSAM,2002,House Wife,0,485,485
ASSAM,2002,Service (Government),14,4,18
ASSAM,2002,Service (Private),79,12,91
ASSAM,2002,Public Sector Undertaking,64,8,72
ASSAM,2002,Student,88,29,117
ASSAM,2002,Unemployed,231,31,262
ASSAM,2002,Self-employed (Business activity),239,20,259
ASSAM,2002,Professional Activity,42,0,42
ASSAM,2002,Farming/Agriculture Activity,248,23,271
ASSAM,2002,Others (Please Specify),437,123,560
ASSAM,2002,Retired Person,6,0,6
ASSAM,2002,Others (Please Specify),254,73,327
ASSAM,2002,Total,1702,808,2510
ASSAM,2002,Total Salaried,157,24,181
ASSAM,2002,Total Self-employed,966,166,1132
ASSAM,2003,House Wife,0,381,381
ASSAM,2003,Service (Government),15,0,15
ASSAM,2003,Service (Private),88,8,96
ASSAM,2003,Public Sector Undertaking,73,22,95
ASSAM,2003,Student,129,91,220
ASSAM,2003,Unemployed,205,67,272
ASSAM,2003,Self-employed (Business activity),181,26,207
ASSAM,2003,Professional Activity,34,0,34
ASSAM,2003,Farming/Agriculture Activity,156,31,187
ASSAM,2003,Others (Please Specify),595,183,778
ASSAM,2003,Retired Person,1,0,1
ASSAM,2003,Others (Please Specify),199,111,310
ASSAM,2003,Total,1676,920,2596
ASSAM,2003,Total Salaried,176,30,206
ASSAM,2003,Total Self-employed,966,240,1206
ASSAM,2004,House Wife,0,446,446
ASSAM,2004,Service (Government),10,2,12
ASSAM,2004,Service (Private),69,15,84
ASSAM,2004,Public Sector Undertaking,50,15,65
ASSAM,2004,Student,113,62,175
ASSAM,2004,Unemployed,237,62,299
ASSAM,2004,Self-employed (Business activity),300,34,334
ASSAM,2004,Professional Activity,124,0,124
ASSAM,2004,Farming/Agriculture Activity,316,15,331
ASSAM,2004,Others (Please Specify),519,148,667
ASSAM,2004,Retired Person,4,0,4
ASSAM,2004,Others (Please Specify),203,95,298
ASSAM,2004,Total,1945,894,2839
ASSAM,2004,Total Salaried,129,32,161
ASSAM,2004,Total Self-employed,1259,197,1456
ASSAM,2005,House Wife,0,566,566
ASSAM,2005,Service (Government),14,0,14
ASSAM,2005,Service (Private),43,10,53
ASSAM,2005,Public Sector Undertaking,56,4,60
ASSAM,2005,Student,103,51,154
ASSAM,2005,Unemployed,87,9,96
ASSAM,2005,Self-employed (Business activity),350,29,379
ASSAM,2005,Professional Activity,66,3,69
ASSAM,2005,Farming/Agriculture Activity,256,43,299
ASSAM,2005,Others (Please Specify),703,124,827
ASSAM,2005,Retired Person,9,2,11
ASSAM,2005,Others (Please Specify),264,54,318
ASSAM,2005,Total,1951,895,2846
ASSAM,2005,Total Salaried,113,14,127
ASSAM,2005,Total Self-employed,1375,199,1574
ASSAM,2006,House Wife,0,579,579
ASSAM,2006,Service (Government),17,0,17
ASSAM,2006,Service (Private),38,8,46
ASSAM,2006,Public Sector Undertaking,39,14,53
ASSAM,2006,Student,157,53,210
ASSAM,2006,Unemployed,41,0,41
ASSAM,2006,Self-employed (Business activity),466,47,513
ASSAM,2006,Professional Activity,138,0,138
ASSAM,2006,Farming/Agriculture Activity,295,27,322
ASSAM,2006,Others (Please Specify),709,88,797
ASSAM,2006,Retired Person,10,0,10
ASSAM,2006,Others (Please Specify),206,99,305
ASSAM,2006,Total,2116,915,3031
ASSAM,2006,Total Salaried,94,22,116
ASSAM,2006,Total Self-employed,1608,162,1770
ASSAM,2007,House Wife,0,516,516
ASSAM,2007,Service (Government),15,2,17
ASSAM,2007,Service (Private),30,12,42
ASSAM,2007,Public Sector Undertaking,74,19,93
ASSAM,2007,Student,119,90,209
ASSAM,2007,Unemployed,30,6,36
ASSAM,2007,Self-employed (Business activity),377,51,428
ASSAM,2007,Professional Activity,150,0,150
ASSAM,2007,Farming/Agriculture Activity,276,2,278
ASSAM,2007,Others (Please Specify),837,132,969
ASSAM,2007,Retired Person,7,0,7
ASSAM,2007,Others (Please Specify),201,116,317
ASSAM,2007,Total,2116,946,3062
ASSAM,2007,Total Salaried,119,33,152
ASSAM,2007,Total Self-employed,1640,185,1825
ASSAM,2008,House Wife,0,573,573
ASSAM,2008,Service (Government),19,2,21
ASSAM,2008,Service (Private),52,21,73
ASSAM,2008,Public Sector Undertaking,46,7,53
ASSAM,2008,Student,129,77,206
ASSAM,2008,Unemployed,37,7,44
ASSAM,2008,Self-employed (Business activity),375,54,429
ASSAM,2008,Professional Activity,133,4,137
ASSAM,2008,Farming/Agriculture Activity,192,5,197
ASSAM,2008,Others (Please Specify),741,123,864
ASSAM,2008,Retired Person,4,1,5
ASSAM,2008,Others (Please Specify),242,145,387
ASSAM,2008,Total,1970,1019,2989
ASSAM,2008,Total Salaried,117,30,147
ASSAM,2008,Total Self-employed,1441,186,1627
ASSAM,2009,House Wife,0,541,541
ASSAM,2009,Service (Government),5,0,5
ASSAM,2009,Service (Private),56,7,63
ASSAM,2009,Public Sector Undertaking,50,14,64
ASSAM,2009,Student,129,91,220
ASSAM,2009,Unemployed,58,15,73
ASSAM,2009,Self-employed (Business activity),361,59,420
ASSAM,2009,Professional Activity,131,12,143
ASSAM,2009,Farming/Agriculture Activity,317,24,341
ASSAM,2009,Others (Please Specify),584,238,822
ASSAM,2009,Retired Person,13,0,13
ASSAM,2009,Others (Please Specify),178,83,261
ASSAM,2009,Total,1882,1084,2966
ASSAM,2009,Total Salaried,111,21,132
ASSAM,2009,Total Self-employed,1393,333,1726
ASSAM,2010,House Wife,0,415,415
ASSAM,2010,Service (Government),18,1,19
ASSAM,2010,Service (Private),57,16,73
ASSAM,2010,Public Sector Undertaking,98,20,118
ASSAM,2010,Student,148,99,247
ASSAM,2010,Unemployed,66,16,82
